concept:name,mean_waiting_time_m,mean_processing_time_h
O_Returned - Incident No. Application_970837782,0.33315,
W_Call incomplete files - Incident No. Application_1955603407,0.33195,
O_Create Offer - Incident No. Application_1391922975,0.33098,
O_Returned - Incident No. Application_1829215276,0.32835,
W_Call after offers - Incident No. Application_291595740,0.31792,
W_Call after offers - Incident No. Application_1248664349,0.31473,
W_Call after offers - Incident No. Application_1176412755,0.30965,
W_Call after offers - Incident No. Application_1147800670,0.28528,
O_Returned - Incident No. Application_1589661239,0.2819,
O_Sent (mail and online) - Incident No. Application_1219016966,0.27887,
W_Call incomplete files - Incident No. Application_1291464093,0.27745,
W_Call incomplete files - Incident No. Application_511296196,0.27352,
W_Call incomplete files - Incident No. Application_567402421,0.2652,
O_Returned - Incident No. Application_441255864,0.2543,
O_Sent (mail and online) - Incident No. Application_92831750,0.2537,
W_Complete application - Incident No. Application_407193791,0.24598,
W_Complete application - Incident No. Application_72514552,0.24138,
W_Call incomplete files - Incident No. Application_1238624688,0.23542,
W_Short. completion ,0.23304,
O_Sent (mail and online) - Incident No. Application_914516740,0.23267,
W_Call after offers - Incident No. Application_1908330917,0.22958,
W_Call incomplete files - Incident No. Application_2002505427,0.22245,
O_Sent (mail and online) - Incident No. Application_746224446,0.21958,
W_Call incomplete files - Incident No. Application_630979281,0.21343,
O_Sent (mail and online) - Incident No. Application_1832359699,0.21063,
O_Returned - Incident No. Application_1321952381,0.20962,
W_Call incomplete files - Incident No. Application_1379497552,0.2093,
W_Complete application - Incident No. Application_673424886,0.20635,
O_Sent (mail and onl.) - Incident No. Application_1931704378,0.2055,
O_Sent (mail and online) - Incident No. Application_1381394206,0.19465,
W_Call after offers - Incident No. Application_1268337735,0.19313,
W_Complete application - Incident No. Application_2043974733,0.19093,
W_Call incomplete files - Incident No. Application_2058509067,0.18943,
W_Assess potential fraud - Incident No. Application_2141808398,0.18617,
O_Sent (mail and online) - Incident No. Application_1016735,0.18548,
O_Sent (mail and online) - Incident No. Application_1433980057,0.18535,
O_Sent (mail and online) - Incident No. Application_2055348620,0.18345,
W_Complete application - Incident No. Application_1716972964,0.17763,
O_Sent (mail and online) - Incident No. Application_136429674,0.17163,
O_Sent (mail and online) - Incident No. Application_757550982,0.17118,
O_Sent (online only) - Incident No. Application_882854027,0.16785,
O_Sent (mail and online) - Incident No. Application_287210829,0.16078,
O_Cancelled - Incident No. Application_827229578,0.15807,
O_Create Offer - Incident No. Application_1986790973,0.15657,
O_Returned - Incident No. Application_1036485758,0.15455,
O_Returned - Incident No. Application_946540113,0.15177,
O_Returned - Incident No. Application_626440594,0.13548,
W_Complete application - Incident No. Application_1499935603,0.13533,
W_Complete application - Incident No. Application_714929749,0.13438,
O_Sent (mail and online) - Incident No. Application_472844290,0.13347,
O_Returned - Incident No. Application_821809391,0.12833,
O_Sent (mail and online) - Incident No. Application_907188218,0.12538,
O_Sent (mail and online) - Incident No. Application_1736444832,0.12348,
W_Assess potential fraud - Incident No. Application_1339294789,0.11728,
O_Sent (mail and online) - Incident No. Application_156618714,0.1135,
O_Returned - Incident No. Application_973484486,0.08267,
W_Call incomplete files - Incident No. Application_811555286,0.06997,
W_Complete application - Incident No. Application_1269209878,0.06762,
W_Call incomplete files - Incident No. Application_861657458,0.05938,
W_Call incomplete files - Incident No. Application_72874899,0.05458,
W_Call incomplete files - Incident No. Application_1551651697,0.04433,
O_Returned - Incident No. Application_312166095,0.04427,
O_Created - Incident No. Application_1251733219,0.04058,
O_Created - Incident No. Application_1653926728,0.02775,
W_Complete application - Incident No. Application_643008287,0.027,
O_Created - Incident No. Application_1476271894,0.02635,
O_Created - Incident No. Application_87679955,0.02613,
O_Created - Incident No. Application_489028753,0.02427,
O_Created - Incident No. Application_1449941621,0.02415,
O_Created - Incident No. Application_357336097,0.02413,
O_Created - Incident No. Application_1452039492,0.0241,
O_Created - Incident No. Application_244578315,0.02378,
O_Created - Incident No. Application_931151304,0.02353,
O_Created - Incident No. Application_142568747,0.0233,
O_Created - Incident No. Application_651473489,0.02263,
O_Created - Incident No. Application_2114646933,0.02245,
O_Created - Incident No. Application_589126653,0.02232,
O_Created - Incident No. Application_1115533383,0.0219,
O_Created - Incident No. Application_1452266783,0.02177,
O_Created - Incident No. Application_217304207,0.02138,
O_Created - Incident No. Application_2053390692,0.02105,
A_Submitted - Incident No. Application_1822980124,0.02085,
O_Created - Incident No. Application_1615252785,0.02037,
A_Submitted - Incident No. Application_1685939887,0.02018,
O_Created - Incident No. Application_478108820,0.01982,
O_Created - Incident No. Application_1277100580,0.01967,
A_Submitted - Incident No. Application_242423863,0.01925,
W_Handle leads - Incident No. Application_747766514,0.01888,
O_Created - Incident No. Application_868416280,0.01887,
O_Crtd.,0.01773,
O_Created,0.01771,
A_Submitted - Incident No. Application_2015889423,0.0177,
W_Precheck application: Credit History,0.01667,
W_Precheck application: Form Completeness,0.01667,
W_Precheck application: Applicant Identity,0.01665,
O_Created - Incident No. Application_2124248870,0.01263,
A_Submitted - Incident No. Application_1565653243,0.01262,
O_Created - Incident No. Application_1336827722,0.01233,
O_Created - Incident No. Application_427975818,0.0116,
O_Created - Incident No. Application_1631604760,0.01153,
O_Created - Incident No. Application_346181860,0.01053,
O_Created - Incident No. Application_1094817175,0.0103,
O_Created - Incident No. Application_1411314331,0.01005,
O_Created - Incident No. Application_279002186,0.00998,
O_Created - Incident No. Application_219236433,0.00992,
O_Created - Incident No. Application_1135936231,0.00982,
O_Created - Incident No. Application_98002498,0.00982,
W_Handle leads - Incident No. Application_967767056,0.00978,
O_Created - Incident No. Application_844605700,0.00968,
O_Created - Incident No. Application_1722688700,0.00967,
O_Created - Incident No. Application_1763494631,0.00928,
O_Created - Incident No. Application_1566541695,0.00883,
W_Handle leads - Incident No. Application_361574072,0.00852,
O_Created - Incident No. Application_632417971,0.00812,
W_Handle leads - Incident No. Application_1582681038,0.00765,
W_Handle leads - Incident No. Application_1861943090,0.00617,
A_Submitted,0.00567,
W_Handle leads - Incident No. Application_1231829928,0.00565,
A_Subm.,0.00541,
A_Subm. - Incident No. Application_1674907586,0.00517,
W_Handle leads - Incident No. Application_949207469,0.00493,
W_Handle leads - Incident No. Application_513242596,0.00485,
W_Handle leads - Incident No. Application_474011024,0.0047,
W_Handle leads - Incident No. Application_1452318915,0.00448,
W_Handle leads - Incident No. Application_340094554,0.0043,
W_Handle leads - Incident No. Application_1501327426,0.00372,
W_Handle leads - Incident No. Application_82697402,0.00348,
W_Handle leads - Incident No. Application_348390694,0.00287,
W_Handle leads - Incident No. Application_2008195330,0.00247,
A_Submitted - Incident No. Application_1183289817,0.00198,
W_Complete application - Incident No. Application_736121270,0.00172,
W_Call after offers - Incident No. Application_60214514,0.00152,
W_Complete application - Incident No. Application_1695710611,0.00123,
W_Complete application - Incident No. Application_112954315,0.00122,
A_Submitted - Incident No. Application_1634230904,0.00105,
O_Cancelled - Incident No. Application_1765752001,0.00102,
W_Complete application - Incident No. Application_1452322298,0.00098,
A_Submitted - Incident No. Application_1351265740,0.00087,
A_Submitted - Incident No. Application_715598250,0.00082,
A_Submitted - Incident No. Application_603568134,0.0008,
A_Submitted - Incident No. Application_1308505203,0.0008,
W_Call after offers - Incident No. Application_1976912656,0.00072,
W_Complete application - Incident No. Application_1292199013,0.0007,
W_Complete application - Incident No. Application_2057050113,0.00068,
O_Refused,0.00065,
O_Cancelled - Incident No. Application_863789331,0.00065,
A_Submitted - Incident No. Application_1210438588,0.00063,
W_Call after offers - Incident No. Application_116887817,0.00063,
W_Complete application - Incident No. Application_1077411737,0.00063,
W_Complete application - Incident No. Application_821425679,0.00063,
A_Submitted - Incident No. Application_1953648387,0.00062,
O_Ref.,0.0006,
W_Complete application - Incident No. Application_255181717,0.00058,
W_Call after offers - Incident No. Application_78417623,0.00057,
A_Concept - Incident No. Application_1151254747,0.00055,
A_Pending - Incident No. Application_1422939976,0.00053,
A_Submitted - Incident No. Application_2099367250,0.00053,
A_Submitted - Incident No. Application_1624825294,0.00053,
W_Call after offers - Incident No. Application_898010884,0.00052,
W_Complete application - Incident No. Application_1054275897,0.0005,
W_Complete application - Incident No. Application_697429896,0.00047,
W_Complete application - Incident No. Application_1345500543,0.00047,
W_Complete application - Incident No. Application_801793652,0.00043,
O_Ref. - Incident No. Application_1357377502,0.00042,
A_Complete - Incident No. Application_1528598069,0.00038,
W_Complete application - Incident No. Application_1132137608,0.00038,
W_Complete application - Incident No. Application_439170487,0.00038,
O_Refused - Incident No. Application_1606631152,0.00038,
W_Complete application - Incident No. Application_1024812544,0.00038,
O_Cancelled - Incident No. Application_2050505348,0.00035,
A_Complete - Incident No. Application_668080527,0.00033,
W_Call incomplete files - Incident No. Application_196760230,0.00032,
A_Concept - Incident No. Application_1634831751,0.00032,
W_Complete application - Incident No. Application_1333311434,0.00032,
W_Complete application - Incident No. Application_1335456683,0.00032,
O_Cancelled - Incident No. Application_1062513151,0.0003,
O_Cancelled - Incident No. Application_524649644,0.0003,
W_Complete application - Incident No. Application_1172109726,0.0003,
W_Call after offers - Incident No. Application_1479572731,0.00028,
W_Call after offers - Incident No. Application_1670839360,0.00028,
W_Complete application - Incident No. Application_2061014025,0.00028,
O_Cancelled - Incident No. Application_1773437231,0.00027,
W_Complete application - Incident No. Application_1618462543,0.00027,
O_Cancelled - Incident No. Application_532540039,0.00027,
A_Pending - Incident No. Application_1148915549,0.00027,
W_Complete application - Incident No. Application_44362372,0.00025,
W_Complete appl. - Incident No. Application_76190541,0.00025,
W_Call after offers - Incident No. Application_199815507,0.00025,
W_Call after offers - Incident No. Application_1550757618,0.00025,
W_Complete application - Incident No. Application_779559950,0.00025,
W_Complete application - Incident No. Application_525275343,0.00025,
W_Complete application - Incident No. Application_389951798,0.00025,
W_Complete application - Incident No. Application_733209952,0.00023,
W_Complete application - Incident No. Application_1287980730,0.00023,
A_Concept - Incident No. Application_230995409,0.00023,
W_Complete application - Incident No. Application_421631020,0.00023,
A_Complete - Incident No. Application_648638072,0.00023,
W_Call after offers - Incident No. Application_1601174854,0.00023,
W_Call after offers - Incident No. Application_1003239424,0.00022,
A_Incomplete - Incident No. Application_1822749300,0.00022,
W_Complete application - Incident No. Application_1844843408,0.00022,
W_Complete application - Incident No. Application_1658421398,0.00022,
W_Complete application - Incident No. Application_1797034930,0.00022,
W_Call after offers - Incident No. Application_778321702,0.00022,
W_Complete application - Incident No. Application_1325073852,0.00022,
W_Complete application - Incident No. Application_1597735097,0.00022,
W_Complete application - Incident No. Application_1157789718,0.0002,
W_Complete application - Incident No. Application_1680196896,0.0002,
O_Cancelled - Incident No. Application_1155355584,0.0002,
W_Call after offers - Incident No. Application_359514195,0.0002,
W_Call incomplete files - Incident No. Application_93597308,0.0002,
W_Complete application - Incident No. Application_512698300,0.0002,
W_Complete application - Incident No. Application_2025285981,0.0002,
W_Complete application - Incident No. Application_785051963,0.0002,
W_Complete application - Incident No. Application_1717037689,0.0002,
W_Complete application - Incident No. Application_1152890590,0.0002,
A_Complete - Incident No. Application_392700433,0.0002,
W_Complete application - Incident No. Application_590406101,0.00018,
W_Complete application - Incident No. Application_75636589,0.00018,
W_Complete application - Incident No. Application_722965319,0.00018,
W_Complete application - Incident No. Application_857889523,0.00018,
A_Incomplete - Incident No. Application_828330778,0.00018,
W_Complete application - Incident No. Application_1353398749,0.00018,
W_Complete application - Incident No. Application_1164231409,0.00018,
A_Concept - Incident No. Application_1702772063,0.00017,
W_Complete application - Incident No. Application_467003345,0.00017,
W_Call after offers - Incident No. Application_861341090,0.00017,
W_Call after offers - Incident No. Application_148748151,0.00017,
W_Call after offers - Incident No. Application_1831948498,0.00017,
W_Complete application - Incident No. Application_121793783,0.00015,
W_Call after offers - Incident No. Application_633119231,0.00015,
W_Complete application - Incident No. Application_1757054700,0.00015,
W_Complete appl. - Incident No. Application_955766793,0.00015,
A_Pending - Incident No. Application_611514061,0.00015,
W_Complete application - Incident No. Application_1514719904,0.00015,
W_Complete application - Incident No. Application_691261058,0.00015,
W_Call after ofrs. - Incident No. Application_1444652783,0.00015,
W_Complete application - Incident No. Application_461433493,0.00015,
A_Pending,0.00014,
A_Pending - Incident No. Application_1375985326,0.00013,
W_Call after offers - Incident No. Application_140532189,0.00013,
O_Cancelled - Incident No. Application_820121280,0.00013,
W_Complete application - Incident No. Application_1176427687,0.00013,
W_Complete application - Incident No. Application_1889734765,0.00013,
A_Concept - Incident No. Application_948481390,0.00013,
A_Concept - Incident No. Application_511563908,0.00013,
W_Complete application - Incident No. Application_2022864702,0.00013,
W_Call after offers - Incident No. Application_1160294540,0.00013,
W_Complete application - Incident No. Application_957889872,0.00013,
A_Pend.,0.00013,
A_Incomplete - Incident No. Application_1807570830,0.00013,
W_Call after offers - Incident No. Application_369187214,0.00012,
W_Call after offers - Incident No. Application_2097990912,0.00012,
W_Call incomplete files - Incident No. Application_1193723578,0.00012,
W_Call after offers - Incident No. Application_441671410,0.00012,
W_Call after offers - Incident No. Application_672929604,0.00012,
A_Concept - Incident No. Application_1241512752,0.00012,
W_Complete application - Incident No. Application_1179844725,0.00012,
W_Complete application - Incident No. Application_814787648,0.00012,
W_Call after offers - Incident No. Application_1430219992,0.00012,
W_Call after offers - Incident No. Application_1849291421,0.00012,
W_Call after offers - Incident No. Application_824570106,0.00012,
W_Complete application - Incident No. Application_267475970,0.00012,
A_Concept,0.00011,
O_Cancelled - Incident No. Application_426809591,0.0001,
W_Complete application - Incident No. Application_2055213669,0.0001,
W_Call after offers - Incident No. Application_272984769,0.0001,
A_Concept - Incident No. Application_212230062,0.0001,
W_Complete appl. - Incident No. Application_797468359,0.0001,
W_Call after offers - Incident No. Application_269993344,0.0001,
A_Pending - Incident No. Application_204296489,0.0001,
W_Call incomplete files - Incident No. Application_2118959355,0.0001,
A_Pending - Incident No. Application_513980010,0.0001,
A_Pending - Incident No. Application_958010441,0.0001,
W_Call after offers - Incident No. Application_1899152730,0.0001,
A_Incomplete - Incident No. Application_1834413022,0.0001,
W_Complete application - Incident No. Application_1992973803,0.0001,
W_Call incomplete files - Incident No. Application_460918643,0.0001,
A_Concept.,0.0001,
A_Concept - Incident No. Application_1549242228,0.0001,
W_Call after offers - Incident No. Application_899761488,0.0001,
A_Incomplete - Incident No. Application_1977737150,0.0001,
W_Call after offers - Incident No. Application_1401953169,0.0001,
A_Pending - Incident No. Application_336983203,0.0001,
W_Call after ofrs. - Incident No. Application_1034800486,0.0001,
A_Pending - Incident No. Application_2077213998,0.0001,
W_Call incomplete files - Incident No. Application_1646039554,8e-05,
W_Call incomplete files - Incident No. Application_1081695790,8e-05,
A_Concept - Incident No. Application_457634247,8e-05,
A_Pending - Incident No. Application_184820054,8e-05,
A_Pending - Incident No. Application_2138066492,8e-05,
A_Pending - Incident No. Application_1972522268,8e-05,
A_Pending - Incident No. Application_1861943090,8e-05,
A_Pending - Incident No. Application_487581969,8e-05,
A_Incomplete - Incident No. Application_46509889,8e-05,
W_Call after offers - Incident No. Application_1387809089,8e-05,
A_Complete - Incident No. Application_700898434,8e-05,
A_Concept - Incident No. Application_929328501,8e-05,
W_Assess potential fraud - Incident No. Application_1605786633,8e-05,
W_Complete application - Incident No. Application_1784350386,8e-05,
A_Concept - Incident No. Application_1390887753,8e-05,
A_Complete - Incident No. Application_84178362,8e-05,
W_Call incomplete files - Incident No. Application_236717130,7e-05,
A_Pending - Incident No. Application_1750694082,7e-05,
W_Complete application - Incident No. Application_957766894,7e-05,
A_Incomplete - Incident No. Application_1166300620,7e-05,
W_Call after offers - Incident No. Application_1617629956,7e-05,
A_Complete - Incident No. Application_1090605487,7e-05,
A_Incomplete - Incident No. Application_700944241,7e-05,
W_Call incomplete files - Incident No. Application_2104928520,7e-05,
W_Complete application - Incident No. Application_781937215,7e-05,
A_Concept - Incident No. Application_933548333,7e-05,
A_Concept - Incident No. Application_1518842217,7e-05,
A_Concept - Incident No. Application_2084882126,7e-05,
A_Concept - Incident No. Application_1859453433,7e-05,
A_Concept - Incident No. Application_1740022040,7e-05,
A_Concept - Incident No. Application_1111168705,7e-05,
A_Concept - Incident No. Application_983529201,7e-05,
A_Concept - Incident No. Application_1233972633,7e-05,
W_Call after offers - Incident No. Application_554296517,7e-05,
A_Concept - Incident No. Application_1376919648,7e-05,
A_Complete - Incident No. Application_837826809,7e-05,
W_Call after offers - Incident No. Application_461433493,7e-05,
W_Call after offers - Incident No. Application_630639256,7e-05,
W_Call after offers - Incident No. Application_1331923786,7e-05,
W_Assess potential fraud - Incident No. Application_988854237,7e-05,
A_Pending - Incident No. Application_1347888391,7e-05,
W_Call after offers - Incident No. Application_1290311945,7e-05,
A_Complete,6e-05,
A_Comp.,6e-05,
A_Incompl.,6e-05,
A_Complete - Incident No. Application_1086603594,5e-05,
W_Call after offers - Incident No. Application_1229879079,5e-05,
W_Call incomplete files - Incident No. Application_1549864001,5e-05,
W_Call incomplete files - Incident No. Application_1386064016,5e-05,
W_Call after offers - Incident No. Application_1264113522,5e-05,
W_Call after offers - Incident No. Application_1326150405,5e-05,
A_Concept - Incident No. Application_654932562,5e-05,
A_Concept - Incident No. Application_547285151,5e-05,
W_Call incomplete files - Incident No. Application_275058201,5e-05,
W_Call incomplete files - Incident No. Application_797417927,5e-05,
W_Call after offers - Incident No. Application_688791477,5e-05,
A_Complete - Incident No. Application_655578777,5e-05,
W_Complete appl. - Incident No. Application_1438792986,5e-05,
W_Complete application - Incident No. Application_1904164714,5e-05,
A_Pend. - Incident No. Application_1454051089,5e-05,
A_Incomplete - Incident No. Application_736365847,5e-05,
A_Incomplete,5e-05,
A_Incomplete - Incident No. Application_1253132147,5e-05,
W_Call incomplete files - Incident No. Application_1158889528,5e-05,
W_Call incomplete files - Incident No. Application_1722967892,5e-05,
A_Incomplete - Incident No. Application_1669003717,5e-05,
A_Incomplete - Incident No. Application_2083746765,5e-05,
A_Complete - Incident No. Application_2001089944,5e-05,
A_Complete - Incident No. Application_1727916264,5e-05,
W_Call incomplete files - Incident No. Application_1264855362,5e-05,
A_Pending - Incident No. Application_1721213353,5e-05,
W_Call incomplete files - Incident No. Application_1855733856,5e-05,
A_Complete - Incident No. Application_1673553736,5e-05,
A_Concept - Incident No. Application_277674975,3e-05,
W_Call incomplete files - Incident No. Application_752505942,3e-05,
W_Complete application - Incident No. Application_1139883069,3e-05,
A_Complete - Incident No. Application_704895325,3e-05,
A_Complete - Incident No. Application_915426843,3e-05,
W_Call after offers - Incident No. Application_458419200,3e-05,
W_Complete application - Incident No. Application_1617272391,3e-05,
A_Complete - Incident No. Application_508938604,3e-05,
W_Call after offers - Incident No. Application_851079180,3e-05,
W_Call incomplete files - Incident No. Application_509086914,3e-05,
W_Call after offers - Incident No. Application_536044692,3e-05,
A_Concept - Incident No. Application_1186596204,3e-05,
A_Complete - Incident No. Application_2035862434,3e-05,
A_Complete - Incident No. Application_406889230,3e-05,
A_Complete - Incident No. Application_398524446,3e-05,
A_Complete - Incident No. Application_272717482,3e-05,
W_Complete application - Incident No. Application_1252751917,3e-05,
W_Complete application - Incident No. Application_1730126086,3e-05,
W_Call after offers - Incident No. Application_1109017383,3e-05,
A_Pending - Incident No. Application_1151598575,3e-05,
W_Call after offers - Incident No. Application_1237708187,3e-05,
W_Call after offers - Incident No. Application_1353474114,3e-05,
A_Comp. - Incident No. Application_1447256897,3e-05,
W_Call incomplete files - Incident No. Application_1155107642,3e-05,
W_Call after offers - Incident No. Application_1190160893,3e-05,
W_Call incomplete files - Incident No. Application_1259690237,3e-05,
W_Call incomplete files - Incident No. Application_1744092101,3e-05,
W_Call after ofrs. - Incident No. Application_795202050,3e-05,
W_Call incomplete files - Incident No. Application_2035073842,3e-05,
W_Call incomplete files - Incident No. Application_2039226731,3e-05,
W_Call after offers - Incident No. Application_705785728,3e-05,
A_Incomplete - Incident No. Application_1864995319,3e-05,
W_Complete appl. - Incident No. Application_156087508,3e-05,
W_Call after offers - Incident No. Application_386587234,3e-05,
W_Call after offers - Incident No. Application_393911084,3e-05,
W_Call after offers - Incident No. Application_2062010,3e-05,
A_Concept - Incident No. Application_531468291,3e-05,
W_Complete application - Incident No. Application_327979815,3e-05,
A_Incomplete - Incident No. Application_1220926209,3e-05,
W_Call incomplete files - Incident No. Application_362903716,3e-05,
A_Complete - Incident No. Application_1220369667,3e-05,
A_Incomplete - Incident No. Application_832270820,3e-05,
A_Incomplete - Incident No. Application_461148192,3e-05,
A_Incomplete - Incident No. Application_1584906737,3e-05,
A_Incomplete - Incident No. Application_37517379,3e-05,
W_Complete application - Incident No. Application_64467309,3e-05,
W_Call after offers - Incident No. Application_1756929080,3e-05,
W_Call after offers - Incident No. Application_1726750534,3e-05,
A_Incomplete - Incident No. Application_459407663,3e-05,
A_Incomplete - Incident No. Application_1357274410,3e-05,
A_Incomplete - Incident No. Application_1546287413,3e-05,
A_Incompl. - Incident No. Application_1042310075,3e-05,
W_Call after offers - Incident No. Application_1936786242,3e-05,
W_Call incomplete files - Incident No. Application_365161472,3e-05,
W_Call after offers - Incident No. Application_1854482075,3e-05,
W_Call incomplete files - Incident No. Application_2137242855,3e-05,
W_Shortened completion  - Incident No. Application_1583267403,3e-05,
W_Assess potential fraud - Incident No. Application_1578640551,3e-05,
W_Call incomplete files - Incident No. Application_133185552,3e-05,
W_Complete application - Incident No. Application_961957338,3e-05,
W_Call incomplete files - Incident No. Application_1065261182,3e-05,
A_Complete - Incident No. Application_1262773552,3e-05,
W_Call incomplete files - Incident No. Application_1960905117,3e-05,
A_Complete - Incident No. Application_1239673210,3e-05,
W_Call incomplete files - Incident No. Application_1725997094,3e-05,
A_Complete - Incident No. Application_2013092298,3e-05,
A_Complete - Incident No. Application_201324137,3e-05,
A_Complete - Incident No. Application_2030605346,3e-05,
A_Complete - Incident No. Application_1605473699,3e-05,
A_Complete - Incident No. Application_1251582652,3e-05,
A_Complete - Incident No. Application_1741497784,3e-05,
W_Call incomplete files - Incident No. Application_1723296015,2e-05,
W_Call incomplete files - Incident No. Application_67524538,2e-05,
A_Complete - Incident No. Application_825284974,2e-05,
W_Call incomplete files - Incident No. Application_1676999623,2e-05,
A_Complete - Incident No. Application_481145471,2e-05,
W_Call incomplete files - Incident No. Application_1125253534,2e-05,
W_Call incomplete files - Incident No. Application_394775224,2e-05,
W_Call after offers - Incident No. Application_1924151739,2e-05,
W_Call after offers - Incident No. Application_1905716416,2e-05,
A_Complete - Incident No. Application_1107993134,2e-05,
A_Incomplete - Incident No. Application_774586514,2e-05,
A_Incomplete - Incident No. Application_1659632502,2e-05,
A_Incomplete - Incident No. Application_416694962,2e-05,
W_Call after ofrs. - Incident No. Application_2039007818,2e-05,
A_Complete - Incident No. Application_163600875,2e-05,
A_Incomplete - Incident No. Application_1901663183,2e-05,
O_Sent (mail and online) - Incident No. Application_1600253482,2e-05,
A_Create App.,,
A_Create App. - Incident No. Application_1747757725,,
A_Create App. - Incident No. Application_1811479780,,
A_Create Application,,
A_Create Application - Incident No. Application_1007423229,,
A_Create Application - Incident No. Application_1086606722,,
A_Create Application - Incident No. Application_1268243744,,
A_Create Application - Incident No. Application_1310063638,,
A_Create Application - Incident No. Application_1384120390,,
A_Create Application - Incident No. Application_1545618669,,
A_Create Application - Incident No. Application_1635294849,,
A_Create Application - Incident No. Application_1744206812,,
A_Create Application - Incident No. Application_1889414823,,
A_Create Application - Incident No. Application_2038559947,,
A_Create Application - Incident No. Application_2040592119,,
A_Create Application - Incident No. Application_2118231444,,
A_Create Application - Incident No. Application_2118729783,,
A_Create Application - Incident No. Application_36547175,,
A_Create Application - Incident No. Application_380364552,,
A_Create Application - Incident No. Application_424977058,,
A_Create Application - Incident No. Application_498361333,,
A_Create Application - Incident No. Application_556819046,,
A_Create Application - Incident No. Application_560070722,,
A_Create Application - Incident No. Application_630979082,,
A_Create Application - Incident No. Application_697391264,,
A_Create Application - Incident No. Application_787459470,,
A_Create Application - Incident No. Application_823452678,,
A_Create Application - Incident No. Application_83386929,,
A_Create Application - Incident No. Application_942057035,,
A_Create Application - Incident No. Application_955563438,,
